id,PassengerId,Sobreviventes,Sexo
1,2,1,female
2,3,1,female
3,4,1,female
8,9,1,female
9,10,1,female
10,11,1,female
11,12,1,female
15,16,1,female
17,18,1,male
19,20,1,female
21,22,1,male
22,23,1,female
23,24,1,male
25,26,1,female
28,29,1,female
31,32,1,female
32,33,1,female
36,37,1,male
39,40,1,female
43,44,1,female
44,45,1,female
47,48,1,female
52,53,1,female
53,54,1,female
55,56,1,male
56,57,1,female
58,59,1,female
61,62,1,female
65,66,1,male
66,67,1,female
68,69,1,female
74,75,1,male
78,79,1,male
79,80,1,female
81,82,1,male
82,83,1,female
84,85,1,female
85,86,1,female
88,89,1,female
97,98,1,male
98,99,1,female
106,107,1,female
107,108,1,male
109,110,1,female
123,124,1,female
125,126,1,male
127,128,1,male
128,129,1,female
133,134,1,female
136,137,1,female
141,142,1,female
142,143,1,female
146,147,1,male
151,152,1,female
156,157,1,female
161,162,1,female
165,166,1,male
166,167,1,female
172,173,1,female
183,184,1,male
184,185,1,female
186,187,1,female
187,188,1,male
190,191,1,female
192,193,1,female
193,194,1,male
194,195,1,female
195,196,1,female
198,199,1,female
204,205,1,male
207,208,1,male
208,209,1,female
209,210,1,male
211,212,1,female
215,216,1,female
216,217,1,female
218,219,1,female
220,221,1,male
224,225,1,male
226,227,1,male
230,231,1,female
233,234,1,female
237,238,1,female
241,242,1,female
247,248,1,female
248,249,1,male
255,256,1,female
256,257,1,female
257,258,1,female
258,259,1,female
259,260,1,female
261,262,1,male
267,268,1,male
268,269,1,female
269,270,1,female
271,272,1,male
272,273,1,female
274,275,1,female
275,276,1,female
279,280,1,female
283,284,1,male
286,287,1,male
288,289,1,male
289,290,1,female
290,291,1,female
291,292,1,female
298,299,1,male
299,300,1,female
300,301,1,female
301,302,1,male
303,304,1,female
305,306,1,male
306,307,1,female
307,308,1,female
309,310,1,female
310,311,1,female
311,312,1,female
315,316,1,female
316,317,1,female
318,319,1,female
319,320,1,female
322,323,1,female
323,324,1,female
325,326,1,female
327,328,1,female
328,329,1,female
329,330,1,female
330,331,1,female
334,335,1,female
337,338,1,female
338,339,1,male
340,341,1,male
341,342,1,female
345,346,1,female
346,347,1,female
347,348,1,female
348,349,1,male
356,357,1,female
358,359,1,female
359,360,1,female
366,367,1,female
367,368,1,female
368,369,1,female
369,370,1,female
370,371,1,male
375,376,1,female
376,377,1,female
380,381,1,female
381,382,1,female
383,384,1,female
387,388,1,female
389,390,1,female
390,391,1,male
391,392,1,male
393,394,1,female
394,395,1,female
399,400,1,female
400,401,1,male
407,408,1,male
412,413,1,female
414,415,1,male
416,417,1,female
417,418,1,female
426,427,1,female
427,428,1,female
429,430,1,male
430,431,1,male
431,432,1,female
432,433,1,female
435,436,1,female
437,438,1,female
440,441,1,female
443,444,1,female
444,445,1,male
445,446,1,male
446,447,1,female
447,448,1,male
448,449,1,female
449,450,1,male
453,454,1,male
455,456,1,male
457,458,1,female
458,459,1,female
460,461,1,male
469,470,1,female
472,473,1,female
473,474,1,female
479,480,1,female
483,484,1,female
484,485,1,male
486,487,1,female
489,490,1,male
496,497,1,female
504,505,1,female
506,507,1,female
507,508,1,male
509,510,1,male
510,511,1,male
512,513,1,male
513,514,1,female
516,517,1,female
518,519,1,female
520,521,1,female
523,524,1,female
526,527,1,female
530,531,1,female
533,534,1,female
535,536,1,female
537,538,1,female
539,540,1,female
540,541,1,female
543,544,1,male
546,547,1,female
547,548,1,male
549,550,1,male
550,551,1,male
553,554,1,male
554,555,1,female
556,557,1,female
558,559,1,female
559,560,1,female
569,570,1,male
570,571,1,male
571,572,1,female
572,573,1,male
573,574,1,female
576,577,1,female
577,578,1,female
579,580,1,male
580,581,1,female
581,582,1,female
585,586,1,female
587,588,1,male
591,592,1,female
596,597,1,female
599,600,1,male
600,601,1,female
604,605,1,male
607,608,1,male
608,609,1,female
609,610,1,female
612,613,1,female
615,616,1,female
618,619,1,female
621,622,1,male
622,623,1,male
627,628,1,female
630,631,1,male
632,633,1,male
635,636,1,female
641,642,1,female
643,644,1,male
644,645,1,female
645,646,1,male
647,648,1,male
649,650,1,female
651,652,1,female
653,654,1,female
660,661,1,male
664,665,1,male
669,670,1,female
670,671,1,female
673,674,1,male
677,678,1,female
679,680,1,male
681,682,1,male
689,690,1,female
690,691,1,male
691,692,1,female
692,693,1,male
697,698,1,female
700,701,1,female
701,702,1,male
706,707,1,female
707,708,1,male
708,709,1,female
709,710,1,male
710,711,1,female
712,713,1,male
716,717,1,female
717,718,1,female
720,721,1,female
724,725,1,male
726,727,1,female
727,728,1,female
730,731,1,female
737,738,1,male
740,741,1,male
742,743,1,female
744,745,1,male
747,748,1,female
750,751,1,female
751,752,1,male
754,755,1,female
755,756,1,male
759,760,1,female
762,763,1,male
763,764,1,female
765,766,1,female
774,775,1,female
777,778,1,female
779,780,1,female
780,781,1,female
781,782,1,female
786,787,1,female
788,789,1,male
796,797,1,female
797,798,1,female
801,802,1,female
802,803,1,male
803,804,1,male
804,805,1,male
809,810,1,female
820,821,1,female
821,822,1,male
823,824,1,female
827,828,1,male
828,829,1,male
829,830,1,female
830,831,1,female
831,832,1,male
835,836,1,female
838,839,1,male
839,840,1,male
842,843,1,female
849,850,1,female
853,854,1,female
855,856,1,female
856,857,1,female
857,858,1,male
858,859,1,female
862,863,1,female
865,866,1,female
866,867,1,female
869,870,1,male
871,872,1,female
874,875,1,female
875,876,1,female
879,880,1,female
880,881,1,female
887,888,1,female
889,890,1,male
